,Country,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,sub-region,Continent,Continent_color
153,Lebanon,38.07619697,949.7680367999999,245.3370826,2.886782145,27.63600558,1.2152641229999999,37.00691326,487.08673899999997,0.49995869600000004,2.690723018,826.0401421,96.58459722,4.600508952,190.0050392,499.1920478,26.23132734,7.278014927,9.839470174,22.037337899999997,28.89247962,14.92567224,2.661152298,59.09732097,22.16920931,7.306271706,Western Asia,Asia,xkcd:red
154,Djibouti,231.9820214,480.6138044,168.7920096,1.233939035,0.0,0.7556566459999999,46.95999302,37.71663323,3.431423539,23.72587146,180.4970397,56.26808929,54.63894116,33.48979777,77.53111080000001,20.04260807,23.29336172,9.517264604,28.89576223,38.44177226,27.79701536,18.39916419,36.01357034,32.35688066,30.15426711,Sub-Saharan Africa,Africa,xkcd:purple
155,Comoros,110.9826184,262.1399276,164.04221950000002,2.628709288,0.061766523,45.45761218,68.17742784,258.9391675,55.12017793,219.53575099999998,2115.120762,54.54186607,865.1353137,350.87960449999997,920.9093046,10.8169623,20.4624632,7.42858215,21.07772426,27.24605223,22.27362173,16.42908995,12.65472975,23.5503438,23.52701605,Sub-Saharan Africa,Africa,xkcd:purple
156,Burundi,39.17268404,1514.864442,174.02154109999998,0.951510393,26.0672288,12.96760933,75.56859940000001,168.07884909999999,3.211205212,28.40337912,1179.876143,63.58945156,206.0140488,190.5869617,486.83424010000005,14.88368883,19.20977961,11.28771463,19.40696156,27.29664706,19.85361429,12.41295822,5.262054098,20.47441599,19.80324239,Sub-Saharan Africa,Africa,xkcd:purple
157,Rwanda,58.201083600000004,1736.716146,149.47323500000002,1.004901225,53.83210128,15.00570024,85.28897563,273.454404,10.97207713,70.49153877,1158.819444,51.52465669,224.2421249,182.5763884,445.0415041,13.04556751,18.55816092,11.18061125,18.79530812,25.58158641,18.86605076,12.5360189,3.000839262,19.2126809,18.78298345,Sub-Saharan Africa,Africa,xkcd:purple
158,Lesotho,139.3339882,2154.6726719999997,226.9394153,1.457283017,20.35094352,4.743162573,52.06428554,48.30154698,11.64385048,47.22601726,742.6274399,59.57383454,313.17510649999997,114.51592040000001,318.2770823,25.93848569,5.949420723999999,13.63181891,6.018517309,23.82625675,11.79273227,-2.112228945,41.89118203,16.62269865,16.31301543,Sub-Saharan Africa,Africa,xkcd:purple
159,Swaziland,57.9951164,729.1477628,134.8202139,0.9177701420000001,30.50346966,13.86900298,58.63038698,46.11133423,13.13212182,46.10756567,906.5674376000001,67.25593138,426.3816,153.8741642,427.84420930000005,20.64915602,15.037687599999998,12.18335415,15.04010256,27.87477045,19.19117021,7.225614432,28.92720008,22.36057714,22.24297044,Sub-Saharan Africa,Africa,xkcd:purple
160,East Timor,163.9555051,440.72345779999995,169.7510151,1.78459725,2.369984645,30.39113291,68.04501572,200.293997,11.42528319,61.65812362,1729.861278,66.61956147,590.5518635,283.2878597,785.3562444,11.59417897,22.73695894,7.947656891,23.44671224,29.8266723,24.2123628,18.23249331,9.779100798,25.22622949,24.78605024,South-eastern Asia,Asia,xkcd:red
161,Bhutan,501.2831596,2860.9253510000003,181.5962121,3.69839397,2.4223783759999997,49.89924223,44.83827454,23.09199808,3.884030065,21.31384028,1509.813029,98.45824111,899.3121647,354.2108031,927.5800654999999,25.92724723,2.9688695139999997,11.75694965,3.426032233,20.37446473,9.953483074,-5.552782499999999,50.85974127,15.88991363,15.84082549,Southern Asia,Asia,xkcd:red
162,Kuwait,97.95751063,119.7246006,94.23672675,0.005223269,1.82748538,0.0,36.72549192,53.80347834,0.0,0.10521098400000001,107.2171165,89.92229645,0.10521098400000001,22.27217443,59.76590821,36.74100407,13.35519461,13.69033423,35.21745017,43.84169453,24.8021021,7.1006904660000005,85.66701878,35.21745017,14.98712138,Western Asia,Asia,xkcd:red
